"","x"
"1","Al Horford"
"2","Paul Millsap"
"3","Jeff Teague"
"4","Kyle Korver"
"5","Dennis Schroder"
"6","Elton Brand"
"7","DeMarre Carroll"
"8","Cartier Martin"
"9","Mike Scott"
"10","Pero Antic"
"11","John Jenkins"
"12","Shelvin Mack"
"13","Gustavo Ayon"
"14","Lou Williams"
"15","James Nunnally"
"16","Jared Cunningham"
"17","Dexter Pittman"
"18","Mike Muscala"
"19","Kent Bazemore"
"20","Thabo Sefolosha"
"21","Adreian Payne"
"22","Vitor Faverani"
"23","Avery Bradley"
"24","Brandon Bass"
"25","Jeff Green"
"26","Jordan Crawford"
"27","Kelly Olynyk"
"28","Courtney Lee"
"29","Kris Humphries"
"30","Phil Pressey"
"31","Gerald Wallace"
"32","Jared Sullinger"
"33","Keith Bogans"
"34","MarShon Brooks"
"35","Jerryd Bayless"
"36","Rajon Rondo"
"37","Chris Johnson"
"38","Joel Anthony"
"39","Vander Blue"
"40","Chris Babb"
"41","Marcus Thornton"
"42","Evan Turner"
"43","Tyler Zeller"
"44","Marcus Smart"
"45","James Young"
"46","Dwight Powell"
"47","Brandan Wright"
"48","Jameer Nelson"
"49","Jae Crowder"
"50","Tayshaun Prince"
"51","Shavlik Randolph"
"52","Isaiah Thomas"
"53","Jonas Jerebko"
"54","Gigi Datome"
"55","Paul Pierce"
"56","Brook Lopez"
"57","Kevin Garnett"
"58","Joe Johnson"
"59","Deron Williams"
"60","Andray Blatche"
"61","Alan Anderson"
"62","Jason Terry"
"63","Reggie Evans"
"64","Shaun Livingston"
"65","Andrei Kirilenko"
"66","Mirza Teletovic"
"67","Mason Plumlee"
"68","Tyshawn Taylor"
"69","Tornike Shengelia"
"70","Marquis Teague"
"71","Jason Collins"
"72","Jorge Gutierrez"
"73","Bojan Bogdanovic"
"74","Jarrett Jack"
"75","Cory Jefferson"
"76","Jerome Jordan"
"77","Sergey Karasev"
"78","Markel Brown"
"79","Brandon Davies"
"80","Darius Morris"
"81","Thaddeus Young"
"82","Jimmy Butler"
"83","Derrick Rose"
"84","Carlos Boozer"
"85","Taj Gibson"
"86","Luol Deng"
"87","Mike Dunleavy"
"88","Kirk Hinrich"
"89","Tony Snell"
"90","Joakim Noah"
"91","Nazr Mohammed"
"92","Erik Murphy"
"93","Mike James"
"94","D.J. Augustin"
"95","Jimmer Fredette"
"96","Pau Gasol"
"97","Aaron Brooks"
"98","Doug McDermott"
"99","Nikola Mirotic"
"100","Cameron Bairstow"
"101","E'Twaun Moore"
"102","Tristan Thompson"
"103","Dion Waiters"
"104","Earl Clark"
"105","Kyrie Irving"
"106","Anderson Varejao"
"107","Anthony Bennett"
"108","Andrew Bynum"
"109","CJ Miles"
"110","Alonzo Gee"
"111","Henry Sims"
"112","Matthew Dellavedova"
"113","Carrick Felix"
"114","Spencer Hawes"
"115","Arinze Onuaku"
"116","Shane Edwards"
"117","Seth Curry"
"118","Scotty Hopson"
"119","Kevin Love"
"120","LeBron James"
"121","Shawn Marion"
"122","Mike Miller"
"123","Joe Harris"
"124","Will Cherry"
"125","Lou Amundson"
"126","Brendan Haywood"
"127","James Jones"
"128","Alex Kirk"
"129","A.J. Price"
"130","J.R. Smith"
"131","Timofey Mozgov"
"132","Iman Shumpert"
"133","Kendrick Perkins"
"134","Dirk Nowitzki"
"135","Samuel Dalembert"
"136","Jose Calderon"
"137","Monta Ellis"
"138","Vince Carter"
"139","DeJuan Blair"
"140","Wayne Ellington"
"141","Gal Mekel"
"142","Ricky Ledo"
"143","Bernard James"
"144","Shane Larkin"
"145","Devin Harris"
"146","Tyson Chandler"
"147","Chandler Parsons"
"148","Al-Farouq Aminu"
"149","Richard Jefferson"
"150","Jose Juan Barea"
"151","Greg Smith"
"152","Charlie Villanueva"
"153","Raymond Felton"
"154","Amar'e Stoudemire"
"155","Ty Lawson"
"156","JaVale McGee"
"157","JJ Hickson"
"158","Randy Foye"
"159","Anthony Randolph"
"160","Andre Miller"
"161","Evan Fournier"
"162","Kenneth Faried"
"163","Nate Robinson"
"164","Darrell Arthur"
"165","Jordan Hamilton"
"166","Wilson Chandler"
"167","Quincy Miller"
"168","Jan Vesely"
"169","Arron Afflalo"
"170","Danilo Gallinari"
"171","Jusuf Nurkic"
"172","Erick Green"
"173","Gary Harris"
"174","Will Barton"
"175","Joffrey Lauvergne"
"176","Will Bynum"
